2022;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3629;0;0;0;113.8823243;13033.06821;1001.12154;67.0139795;4.309723289;19.98372234;47.20140769;268.2615483;0;0;0;0;0;0;18183.84246;2643.30109;15540.54137
COilFFuelExDies;0;52937.52561;960.3631317;0;39618.53357;1229.781824;1.840624855;4.996762976;29.22254259;1441.700952;161.2832131;1442.012227;4521.762625;54.72788002;253.7672804;334.6942895;1024.825652;6806.399609;632.2545136;24793.8101;0;0;113478.1238;249727.6262;226008.3447;23719.28143
NaturalGas;0;16269.94861;3593.089;0;1636.670492;5882.726033;0;0;0;1.658113462;444.995688;264.9696521;856.8367161;60.3164022;279.6806554;350.628969;1784.616427;677.7921425;74.19599889;271.3187808;0;0;0;32449.44368;28235.21573;4214.227948
Allbiofuel;0;0;0;1893.600289;0;2929.024058;196.6471117;533.8399101;3122.053134;290.9261592;3314.646802;12.76018772;63.84972607;395.4811745;1833.803577;9765.130137;3213.122475;6026.33651;174.3404951;15907.23942;0;0;0;49672.80117;49672.80117;0
Diesel;0;0;0;0;0;0;327.8929487;890.1343158;5205.767829;53.53742263;35.85242343;9.542306623;17.28923961;42.0489195;194.9763072;189.5645697;549.1393127;36016.81515;32.95841036;0;0;0;0;43565.51915;35269.83455;8295.684605
Electricity;0;1326.123207;0.000708725;672.173967;152.6575584;11466.1398;142.4818481;386.7969193;2262.102385;555.0674881;2384.961281;2715.269447;1824.456994;440.4981898;2042.542624;2210.290639;6399.926401;218.0474862;13455.28808;13755.17002;0;0;0;62409.99505;60418.94042;1991.054627
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287652.0688;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9077.505527;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384136.1592;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64960.63856;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56537.04866;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22440.39338;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272682.6317;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12786.32003;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1016278.337;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38812.37417;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1882324.546;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501687.7722;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6258452.852;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
