current_year;2030;2035;2040;2050
Crude_oil;0;0;0;0
Liquid_fuels;0;0;0;0
Gas_fuels;0;0;0;0
Solid_fuels;0;0;0;0
Elec_heating;1100;1150;1200;1250
Steel_Iron;0;0;0;0
NonFerrousMetals;0;0;0;0
Cement;0;0;0;0
OthMin;0;0;0;0
ChemicalPharma;0;0;0;0
Paper;0;0;0;0
Auto_indus;950;1000;1030;1050
OthEquip;0;0;0;0
Electronics;0;0;0;0
Food_industry;0;0;0;0
OthManuf;0;0;0;0
LandTransp;0;0;0;0
NavalTransp;0;0;0;0
AirTransp;0;0;0;0
AgriForest_Fish;0;0;0;0
Construction;870;900;910;920
Property_business;0;0;0;0
Compo;0;0;0;0
