Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;75.89074935;0;38422.71656;0;0;0;0;0;0;6.830260432;0;0;96.32606844;0;0;0;0;0;0;0;0;0;66.6715634;38668.4352;36648.89009;2019.545115
Gas;0;13314.78027;0;0;19464.58301;0;0;0;1889.647078;3665.937092;2681.877581;4523.246768;227.7619633;1990.68058;489.9363837;0;265.6631401;47.59798717;243.1658353;3233.313206;0;0;28423.47576;80461.66666;80365.06926;96.59739129
Fossil_fuels;0;0;1674.22712;0;700.3680733;0;1665.971507;347.623441;0;0;40.70331938;0;320.3547344;1424.545634;310.6212524;1640.474552;171.7194845;224.7683623;398.8606978;1395.08226;0;0;26380.43789;36695.75833;36291.38438;404.3739497
Biofuels;0;0;0;0;0;0;2321.746412;414.1057199;0;0;0;0;0;547.4307966;125.7766285;0;7.517824853;0;0;415.923127;0;0;2227.974748;6060.475257;6058.75681;1.718447759
Elec;0;0;0;0;1019.697994;0;110.559353;0;322.8106911;1315.21455;1546.511019;467.7351129;2940.416238;2560.524863;594.0233041;0;2638.363076;1049.800397;432.3202561;9783.595408;0;0;0;24781.57226;23868.17017;913.4020924
Renew;0;0;0;17293.64064;1471.16657;608.3947621;151.6242555;27.04363885;0;0;486.2979607;1303.466351;0;0;0;0;152.9509174;0;0;655.1687483;0;0;0;22149.75385;21971.08595;178.6678943
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467438.9898;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142803.4196;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27102.09067;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124581.2549;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;381037.0118;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624943.1322;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203261.7719;0;0;0;0;469717.97;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;308366.3038;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226839.379;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233629.5249;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682067.9739;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439355.2795;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3395779.594;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
