2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;20778.1047797263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465.390758656422;20915.4842689432
Liquid_fuels;61.1782649444324;1526.89960770059;0;1597.274997159;0;211.685418397701;545.89880257703;52.4149128123292;80.3389451301125;1500.59203502455;0;138.470786904064;0;56.8906533889251;90.3031710593757;467.651308424467;2270.24059069195;3030.24666725038;8175.10405300346;2041.49864848075;603.572618475107;1.20389940848888;395.306194362659;3868.13805293341;0;0;0;0;32038.2686785797;0
Gas_fuels;17.4822263292124;2323.96433800954;654.293428847617;1.96006005645845;1466.09752972537;157.937767249795;167.559084349757;530.664709027828;332.580338029772;1666.76800620811;407.082219792032;305.078987755505;87.0498101087052;57.491652051704;1852.60795174945;472.591627320431;983.798262510329;17.7820083733992;22.7874703702575;151.719378401652;1012.36201021767;267.273623027705;2026.5196352609;1902.72145420153;0;0;0;0;4760.95843868539;9625.29922492418
Solid_fuels;0;8166.24548981766;5883.08708876342;3699.2991191182;2773.56630227323;593.293619181908;4.17728624978828;134.598183796691;31.1959821760031;63.7570899152233;12.5389615622922;14.84094381173;5.10065561857224;2.21734873474676;244.292190404016;18.2270011610923;0;0;0;21.5669096102668;92.4061255630076;0.76334769711409;331.246107580107;29.7951897020186;0;0;0;0;6813.60035189382;744.808306657269
Elec_heating;15.569855691434;197.633259782736;5573.97972549995;40.1497404164717;1113.94656098504;79.5056010870769;762.952221348689;1776.90006039093;486.377980300849;2912.46981856709;744.832403639267;812.822883595206;390.944829911079;203.256403980269;2860.10642372729;1670.8039066568;3329.80551636102;47.0104174944706;0;500.828946453484;788.095380256614;378.938198148968;13498.2084464899;22948.1188721984;0;0;0;0;60557.5556637645;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22979.1185869006;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29455.5464883347;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6047.30532181947;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27915.2113243696;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111174.369246002;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22797.0699084289;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177931.921567907;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70677.1703134025;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31338.8684958845;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163554.863970288;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257611.081169737;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113080.830828584;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35055.1983503851;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28665.3242836004;0
AgriForest_Fish;0;0;0;18060.7110492966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95842.6685425814;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410843.653449291;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393607.261118165;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2899953.19077019;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
