2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;21034.9235417407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465.390758656422;20915.4842689432
Liquid_fuels;57.3602059841959;1526.89960770059;0;381.105334782859;0;211.685418397701;545.89880257703;52.4149128123293;80.3389451301125;1500.59203502455;0;138.470786904064;0;56.8906533889251;90.3031710593756;467.651308424467;2270.24059069195;3030.24666725038;8175.10405300346;2041.49864848075;603.572618475107;1.20389940848888;395.306194362659;3868.13805293341;0;0;0;0;32038.2686785797;0
Gas_fuels;16.3911824602541;2323.96433800954;654.293428847617;0.467664832505201;1288.09295037146;157.937767249795;167.559084349757;530.664709027828;332.580338029772;1666.76800620811;407.082219792033;305.078987755505;87.0498101087052;57.491652051704;1852.60795174945;472.591627320431;983.798262510329;17.7820083733992;22.7874703702575;151.719378401652;1012.36201021767;267.273623027705;2026.5196352609;1902.72145420153;0;0;0;0;4760.95843868539;9625.29922492418
Solid_fuels;0;8166.24548981766;5883.08708876342;882.642395179958;2436.81687535153;593.293619181908;4.17728624978828;134.598183796691;31.1959821760031;63.7570899152233;12.5389615622922;14.84094381173;5.10065561857224;2.21734873474676;244.292190404015;18.2270011610923;0;0;0;21.5669096102668;92.4061255630076;0.76334769711409;331.246107580107;29.7951897020186;0;0;0;0;6813.60035189382;744.808306657269
Elec_heating;14.5981604809493;200.076020065656;5573.97972549995;9.57961546388697;978.697994644423;79.5056010870769;762.952221348689;1776.90006039093;486.37798030085;2912.46981856709;744.832403639267;812.822883595206;390.944829911079;203.256403980269;2860.10642372729;1670.8039066568;3329.80551636102;47.0104174944706;0;500.828946453484;788.095380256614;378.938198148968;13498.2084464899;22948.1188721984;0;0;0;0;60557.5556637645;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20693.2662640659;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26488.4999647308;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5184.56885647222;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25897.298541867;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106248.384106522;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21638.4586623481;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167820.917480337;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66851.9864092649;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29642.7906838374;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151885.241267341;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243667.437471196;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92165.3823112664;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24955.7555350839;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23918.1118854896;0
AgriForest_Fish;0;0;0;18060.7110492966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85277.7640885199;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396106.169782576;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352577.444444438;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2741818.24491416;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
