;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0;0;0
Solid_fuels;0;0;0
Elec_heating;0.133835269849861;0.123199715113267;0.119181623946188
Steel_Iron;0.05993;0.06208;0.06435
NonFerrousMetals;0.04901;0.04888;0.04964
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0.07621;0.07673;0.07802
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0.04505;0.04644;0.04769
OthManuf;0;0;0
LandTransp;0.110158415661381;0.11812469568543;0.114600113185362
NavalTransp;0.10061;0.10744;0.11225
AirTransp;0.11852;0.13017;0.13487
AgriForest_Fish;0.1805;0.18519;0.19113
Construction;0;0;0
Property_business;0.245129544500467;0.212485278763015;0.191851013449008
Compo;0.121135588878887;0.111828061961544;0.0999202397053803
