2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;8973.72966180873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189.775355628302;8922.77555479897
Liquid_fuels;24.4704945480985;1424.99765233272;0;0;0;183.018723661444;557.625011075599;0;0;1187.15362977551;0;133.590701096415;0;54.8856725810707;0;451.17000890855;292.305622638078;1312.10506578361;7871.96527814944;1733.18119427804;569.520017627058;0.0118653572449987;3.89604744732056;129.863702081601;0;0;0;0;18208.8379521025;0
Gas_fuels;6.68393693407986;3819.63926982692;491.879797729735;0;653.571060526797;161.618525290858;167.294011781846;354.294770505113;259.26966055198;1522.58481882569;300.322677453515;317.960089771864;73.4499309320946;59.9190753253138;1495.27990149846;492.545479299481;1040.70071137658;19.052151828642;102.501487358496;141.388442909935;1412.12515846979;59.7984558844807;453.403308696951;1306.21867445796;0;0;0;0;10463.5612212798;229.075628663863
Solid_fuels;0;8067.83051252548;11053.6472373921;35.6512594297419;2321.39331015464;257.466764853003;8.37712217611313;101.230222909941;34.4556035147744;56.3794420318096;9.42118905597798;15.9267237140187;10.7582037535515;2.37957242638627;283.298806664371;19.5605087729239;0;0;0;29.299085862758;91.9398880430518;0.693361621456151;300.876440868407;24.3165688603087;0;0;0;0;7966.39202769744;435.305381530483
Elec_heating;5.95278493451226;113.7125062539;9339.96801451325;0;1038.53026850564;67.5837765182309;801.950475916877;1373.61148433193;567.956061356177;3064.58421560034;722.585567477224;909.496490488526;438.694639190775;227.430833728144;3335.23503274724;1869.52203249687;4125.27931551816;44.0722664010662;0;434.453079677714;784.118961859799;376.401551085647;13407.8502007835;23877.2936956888;0;0;0;0;68237.0992894693;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26690.4922889323;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34212.932643176;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7024.00988316638;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32423.8168570023;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129130.220285249;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26479.0407995906;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54689.5513995158;0;0;0;0;206669.832117511;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82092.2900989242;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36400.4313207249;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189970.725774697;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299218.029164267;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131344.595826966;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40716.9882395453;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33295.081091027;0
AgriForest_Fish;0;0;0;5153.18741585117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111322.28575315;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;477199.302613639;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457179.048361365;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3368326.68249685;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
