current_year;2020;2025;2030;2035;2040;2045;2050
Coal ;0;0;0;0;0;0;0
Crude;0;0;0;0;0;0;0
Natur;0;0;0;0;0;0;0
Fossi;0;0;0;0;0;0;0
BioFuk;0;7137.328621;5839.688257;5166.329146;5916.227614;7498.746855;8798.487401
Electk;0;35109.29116;38700.94245;42365.32674;47362.15818;51641.77385;55928.24226
Plantk;0;5134.974155;6263.805833;7489.171312;8783.29909;9915.486068;11086.61795
Cattlk;0;7811.050443;8756.210051;9238.990154;10040.6674;10838.32543;12068.65693
RestAk;0;89607.86601;104699.3373;120402.1436;140469.1171;156670.0608;184363.0828
Cemenk;0;1255.98188;1998.29097;2768.685885;3476.264326;4126.845244;4754.411792
IronSk;0;7326.721502;8087.581777;8987.872469;10026.57337;10733.7059;11474.19648
NonFek;0;0;0;7400.621948;8281.892648;10655.97562;11569.00785
Chemik;0;19664.83926;23246.99658;27177.00604;31301.57915;40225.73418;44982.18635
FoodBk;0;122360.7357;136650.6986;140246.3294;145994.6454;152609.284;159020.4997
Paperk;0;9693.930303;12195.84323;13280.1714;15670.64489;17881.12482;20489.27147
RestIk;0;200953.4283;222751.184;248835.4145;277665.1945;303280.2964;331198.378
Freigk;0;31389.74789;62578.6619;93886.40239;119703.3077;150552.5082;188218.8236
PassTk;0;24847.73849;49524.13709;120397.0881;168542.8702;201655.1516;277974.874
Compk;0;0;0;1587453.305;1812725.091;2024075.043;2279290.24
