2020;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3578.4;0;0;0;114.1001715;12959.79983;961.6839011;69.01121659;4.228997657;19.60940628;46.89169082;260.2820743;0;0;0;0;0;0;18014.00729;2644.244003;15369.76329
COilFFuelExDies;0;52042.83411;0.154205044;0;38678.56334;1617.623755;2.174549327;5.903271131;34.52406945;3240.820951;285.1153809;1952.822627;2849.355993;76.19168061;353.2926101;399.4100368;1758.632222;7631.409395;725.99996;26243.63917;0;0;92925.9741;230824.4414;206043.1267;24781.31469
NaturalGas;0;15643.55192;7988.566583;0;1614.358689;4588.443844;0;0;0;1.639238022;485.1569481;251.1178861;870.8594142;61.83186993;286.7077159;343.7711296;1751.043648;697.4193692;57.45763231;254.1123636;0;0;0;34896.03825;28352.95894;6543.079318
Allbiofuel;0;0;0;1756.742718;0;2126.050091;186.8598028;507.2702033;2966.665657;290.8910256;3022.72149;12.24240943;65.66163008;410.179046;1901.956022;9697.535136;3206.348941;4965.627323;172.1101752;15828.52077;0;0;0;47117.38244;47117.38244;0
Diesel;0;0;0;0;0;0;314.6997994;854.3187395;4996.307783;50.89814911;34.58276962;9.10881682;17.69917265;41.01664964;190.1897831;187.200009;531.8161512;37947.14563;37.0385258;0;0;0;0;45212.02198;34756.19377;10455.82821
Electricity;0;1203.618891;0.000465404;635.2145972;145.2109426;11103.76607;131.2673306;356.3527549;2084.055939;530.2638989;2274.25194;2523.714783;1876.776011;431.7687548;2002.065175;2125.114042;6309.794631;205.4753313;12489.31022;12692.62012;0;0;0;59120.64191;56992.4886;2128.153308
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270089.7527;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8523.287294;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360683.1013;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62072.46867;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54728.30031;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20862.20779;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270630.0681;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12535.88835;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;996373.6032;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38241.42202;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1854634.479;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;484317.7875;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5876349.127;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
