2026;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;4204.4;0;0;0;130.950025;14395.6637;1197.87907;70.73620287;4.496456165;20.84958255;52.57566367;314.4699757;0;0;0;0;0;0;20392.02068;3198.322151;17193.69853
COilFFuelExDies;0;70323.57411;1368.391298;0;52294.03205;1394.773039;2.079429534;5.645048463;33.01390718;1774.417523;216.8414336;1876.362923;3520.475453;65.67710686;304.537665;405.2780574;1252.658219;8036.424481;757.6659901;30030.01448;0;0;162246.9366;335908.7988;312810.3533;23098.44545
NaturalGas;0;20801.11807;4429.11881;0;1631.158078;6238.456269;0;0;0;1.939587997;552.1530073;322.6278922;919.6149151;67.73254777;314.068523;397.2919842;2033.603862;619.1646066;123.1021951;308.98806;0;0;0;38760.13841;36562.98669;2197.151718
Allbiofuel;0;0;0;1967.869319;0;2894.061401;217.8343387;591.3570902;3458.430555;314.583866;3488.557725;15.23594637;67.13960422;435.1440555;2017.716081;10773.81641;3509.860284;5513.372106;179.3792021;16716.24156;0;0;0;52160.59954;52160.59954;0
Diesel;0;0;0;0;0;0;354.3961821;962.0829126;5626.544429;58.97312407;40.7575268;11.45963825;18.30187552;43.99769152;204.012553;211.8512072;643.1367859;41829.03066;29.14214896;0;0;0;0;50033.68674;47705.69666;2327.990077
Electricity;0;1762.457475;0.000203531;767.1275745;204.7831308;12140.70778;167.8160009;455.571801;2664.318163;608.0248162;2691.320014;3142.145641;1920.578994;458.3508254;2125.323371;2380.040887;7224.386527;244.8924244;15613.40913;16149.65986;0;0;0;70720.91462;69038.16547;1682.749158
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;326276.8727;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10296.39775;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435716.4725;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71146.38206;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60335.85624;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25963.95597;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276834.5785;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13302.2921;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1057288.669;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39979.97904;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1938951.108;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;544510.4969;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7098813.622;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
